Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id;;;;;;;;0,180690245;3-superartista;0,227181974;2-ArtistasMedios;0,592127781;1-PequenosArtistas
391;2026;1;795;7400;24;5;1;;;;;;;;;;;;;
393;2026;1;814;7400;14;3;1;;;;;;;;;;;;;
394;2026;1;1037;5000;27;5;1;;;;;;;;;;;;;
395;2026;1;1038;5000;5;2;1;;;;;;;;;;;;;
396;2026;1;1039;3000;9;2;1;;;;;;;;;;;;;
397;2026;1;798;6500;31;5;1;;;;;;;;;;;;;
399;2026;1;892;5600;16;3;1;;;;;;;;;;;;;
408;2026;11;1047;39666,67;31;5;2;;;;;;;;;;;;;
409;2026;12;1048;50000;28;5;3;;;;;;;;;;;;;
413;2026;12;1051;112320;24;5;3;;;;;;;;;;;;;
415;2026;2;1053;875;24;5;1;;;;;;;;;;;;;
422;2026;3;1055;7400;32;6;1;;;;;;;;;;;;;
424;2026;4;1057;5000;32;6;1;;;;;;;;;;;;;
426;2026;3;1059;5000;28;5;1;;;;;;;;;;;;;
430;2026;3;1062;7400;28;5;1;;;;;;;;;;;;;
434;2026;2;1066;3900;32;6;1;;;;;;;;;;;;;
436;2026;4;814;3500;17;3;1;;;;;;;;;;;;;
438;2026;3;1069;6000;28;5;1;;;;;;;;;;;;;
439;2026;2;833;7000;27;5;1;;;;;;;;;;;;;
446;2026;4;1076;5000;28;5;1;;;;;;;;;;;;;
447;2026;4;1077;7400;32;6;1;;;;;;;;;;;;;
448;2026;4;1021;20000;14;3;2;;;;;;;;;;;;;
450;2026;4;1064;7000;16;3;1;;;;;;;;;;;;;
454;2026;3;921;4000;21;4;1;;;;;;;;;;;;;
458;2026;4;1082;6000;2;2;1;;;;;;;;;;;;;
460;2026;4;1015;6000;1;1;1;;;;;;;;;;;;;
464;2026;2;915;1850;26;5;1;;;;;;;;;;;;;
470;2026;2;1087;7400;2;2;1;;;;;;;;;;;;;
471;2026;4;913;3500;3;2;1;;;;;;;;;;;;;
473;2026;2;1088;7400;29;5;1;;;;;;;;;;;;;
474;2026;2;1089;5000;24;5;1;;;;;;;;;;;;;
477;2026;2;892;7400;1;1;1;;;;;;;;;;;;;
479;2026;2;866;5000;4;2;1;;;;;;;;;;;;;
480;2026;2;1091;6500;4;2;1;;;;;;;;;;;;;
485;2026;3;813;4500;13;3;1;;;;;;;;;;;;;
487;2026;2;1096;4500;27;5;1;;;;;;;;;;;;;
494;2026;6;61;233,3333333;1;1;1;;;;;;;;;;;;;
497;2026;2;63;233,3333333;32;6;1;;;;;;;;;;;;;
498;2026;2;64;7000;2;2;1;;;;;;;;;;;;;
500;2026;2;1102;5500;32;6;1;;;;;;;;;;;;;
502;2026;2;1103;7400;1;1;1;;;;;;;;;;;;;
506;2026;2;1106;5000;22;4;1;;;;;;;;;;;;;
509;2026;2;1109;3000;32;6;1;;;;;;;;;;;;;
510;2026;2;888;7000;26;5;1;;;;;;;;;;;;;
513;2026;2;915;1875;20;4;1;;;;;;;;;;;;;
517;2026;2;1112;7400;2;2;1;;;;;;;;;;;;;
519;2026;2;1113;7400;12;2;1;;;;;;;;;;;;;
522;2026;2;832;6500;29;5;1;;;;;;;;;;;;;
529;2026;2;1116;937,5;32;6;1;;;;;;;;;;;;;
530;2026;2;915;10000;26;5;2;;;;;;;;;;;;;
531;2026;2;1117;6500;26;5;1;;;;;;;;;;;;;
533;2026;2;804;14800;26;5;2;;;;;;;;;;;;;
535;2026;2;915;6500;32;6;1;;;;;;;;;;;;;
537;2026;2;1053;1000;32;6;1;;;;;;;;;;;;;
539;2026;2;1118;6500;32;6;1;;;;;;;;;;;;;
541;2026;1;1104;45000;32;6;2;;;;;;;;;;;;;
543;2026;2;1053;1000;32;6;1;;;;;;;;;;;;;
544;2026;2;795;7400;2;2;1;;;;;;;;;;;;;
545;2026;2;1119;7400;32;6;1;;;;;;;;;;;;;
547;2026;2;1053;1000;25;5;1;;;;;;;;;;;;;
551;2026;2;1123;3500;32;6;1;;;;;;;;;;;;;
553;2026;2;1006;5000;1;1;1;;;;;;;;;;;;;
555;2026;2;881;2571,428571;28;5;1;;;;;;;;;;;;;
556;2026;2;800;166,6666667;7;2;1;;;;;;;;;;;;;
557;2026;2;981;4000;28;5;1;;;;;;;;;;;;;
562;2026;2;1053;1000;32;6;1;;;;;;;;;;;;;
565;2026;2;1128;7400;28;5;1;;;;;;;;;;;;;
566;2026;2;893;5000;26;5;1;;;;;;;;;;;;;
572;2026;2;1132;15000;28;5;2;;;;;;;;;;;;;
574;2026;2;1134;4000;32;6;1;;;;;;;;;;;;;
575;2026;2;1135;3000;4;2;1;;;;;;;;;;;;;
576;2026;2;1036;2000;1;1;1;;;;;;;;;;;;;
577;2026;2;1128;7000;23;5;1;;;;;;;;;;;;;
579;2026;2;912;5000;14;3;1;;;;;;;;;;;;;
